Date,Name,Open,High,Low
7/13/17,AAPL,2.758619009,3.610840295,2.10316599
7/13/17,GOOG,28.82476059,29.81545991,28.29124308
7/13/17,TSLA,7.466025137,7.843247666,6.787137913
7/13/17,NFLX,13.73159818,13.99535547,12.81868878
7/13/17,BIDU,0.266300286,0.462647612,-0.590560945
7/13/17,BRK-A,21.91610881,22.69511974,21.12892264
7/13/17,ARIA,40.27911176,40.40469148,39.49939587
7/13/17,QWER,22.62012767,23.49235923,22.58385584
7/13/17,PQEW,45.80792447,46.7481566,45.23278183
7/13/17,CKS,12.4193025,13.31022829,11.61719074
7/13/17,FOEK,3.851494538,4.842786208,3.525654482
7/13/17,QPEK,44.08361004,44.77402314,43.64996885
7/13/17,GJFO,47.55619971,47.73072788,46.69031388
7/13/17,DMD,24.58368057,25.31488842,23.80071497
7/13/17,CJDO,16.12522532,16.87407258,15.92881728
7/13/17,LOTP,43.99093549,44.66763258,43.26346947
7/13/17,LFIJ,34.80167009,35.41073576,33.9196538
7/13/17,XKOF,47.73800211,48.42908467,47.17558646
7/13/17,XMEL,15.22173612,15.26953429,14.35640874
